parameter,value,unit,source_type,description
numeric_scale,1000,milli-units,ENGINEERING_PARAMETER,Integer normalization scale used to avoid floating point in the hot path
lplc2_to_dnp01_synapses,4862,synapses,CONNECTOME_DERIVED,Aggregate direct MaleCNS v1.0 LPLC2 to DNp01 edge count queried 2026-09-18
lc4_to_dnp01_synapses,6362,synapses,CONNECTOME_DERIVED,Aggregate direct MaleCNS v1.0 LC4 to DNp01 edge count queried 2026-09-18
lplc2_weight,433,milli-weight,CONNECTOME_DERIVED,4862 divided by 11224 and rounded to the integer scale
lc4_weight,567,milli-weight,CONNECTOME_DERIVED,6362 divided by 11224 and rounded to the integer scale
leak,350,milli-ratio,ENGINEERING_PARAMETER,Discrete leaky integrator retention per step
caution_threshold,300,milli-activity,ENGINEERING_PARAMETER,Prototype state threshold selected for deterministic scenario separation
danger_threshold,850,milli-activity,ENGINEERING_PARAMETER,Prototype override threshold selected for deterministic scenario separation
membrane_clamp,1200,milli-activity,ENGINEERING_PARAMETER,Bounds internal state and prevents numeric growth
lplc2_encoder,size_proxy,mapping,ENGINEERING_PARAMETER,Normalized angular-size proxy mapped to LPLC2 activity based on paper-supported feature role
lc4_encoder,expansion_rate_proxy,mapping,ENGINEERING_PARAMETER,Normalized positive expansion-rate proxy mapped to LC4 activity based on paper-supported feature role
danger_action,ESCAPE,command,ENGINEERING_PARAMETER,Product-level safe-action mapping rather than a biological motor simulation
invalid_input_action,STOP,command,ENGINEERING_PARAMETER,Fail-safe action for out-of-range sensor input
guard_freshness_limit,1500,ms,ENGINEERING_PARAMETER,Missing or older snapshots return STOP through the same arbiter
web_step,25,ms,ENGINEERING_PARAMETER,Fixed simulation timestep independent of wall-clock network latency
web_size_gain,650,proxy-metre,ENGINEERING_PARAMETER,Size proxy gain divided by projectile distance
web_rate_gain,220,proxy-seconds,ENGINEERING_PARAMETER,Expansion proxy gain times speed divided by squared distance
web_core_radius,0.34,m,ENGINEERING_PARAMETER,Identical target radius in both lanes
web_particle_radius,0.16,m,ENGINEERING_PARAMETER,Identical projectile radius in both lanes
web_motor_speed,3.6,m/s,ENGINEERING_PARAMETER,Identical target motor limit in both lanes
web_motion_boundary,2.4,m,ENGINEERING_PARAMETER,Identical target radial boundary in both lanes
web_agent_delay_default,350,ms,ENGINEERING_PARAMETER,Controlled latency model not a real LLM measurement
